Ammersee — 2026-08-03
  dominant thermal; peak 3 kn (1 Bft) NW ~16h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | ESE  |     1.8 (1) |   3.0   | gradient | med  | raw (no local calib yet)
  01   | SE   |     2.2 (1) |   4.4   | gradient | med  | raw (no local calib yet)
  02   | SE   |     2.7 (1) |   5.6   | gradient | med  | raw (no local calib yet)
  03   | ESE  |     1.6 (1) |   3.0   | gradient | med  | raw (no local calib yet)
  04   | SE   |     1.0 (1) |   1.9   | gradient | med  | raw (no local calib yet)
  05   | SE   |     1.1 (1) |   2.1   | gradient | med  | raw (no local calib yet)
  06   | SSE  |     2.1 (1) |   2.7   | gradient | med  | raw (no local calib yet)
  07   | SSE  |     1.6 (1) |   2.2   | gradient | med  | raw (no local calib yet)
  08   | SSW  |     1.6 (1) |   4.5   | calm     | med  | glassy
  09   | W    |     1.2 (1) |   4.5   | thermal  | med  | raw (no local calib yet)
  10   | W    |     1.2 (1) |   5.1   | thermal  | med  | raw (no local calib yet)
  11   | W    |     1.5 (1) |   5.5   | thermal  | med  | raw (no local calib yet)
  12   | W    |     2.2 (1) |   6.4   | thermal  | med  | raw (no local calib yet)
  13   | WNW  |     2.1 (1) |   5.6   | thermal  | med  | raw (no local calib yet)
  14   | NW   |     2.3 (1) |   5.4   | thermal  | med  | raw (no local calib yet)
  15   | NNW  |     3.1 (1) |   7.8   | thermal  | med  | raw (no local calib yet)
  16   | NW   |     3.3 (1) |   6.8   | thermal  | med  | raw (no local calib yet)
  17   | SW   |     2.0 (1) |   6.4   | thermal  | med  | raw (no local calib yet)
  18   | SSE  |     2.1 (1) |   3.5   | gradient | med  | raw (no local calib yet)
  19   | SSW  |     1.1 (1) |   3.7   | gradient | med  | raw (no local calib yet)
  20   | SW   |     3.5 (1) |   6.1   | gradient | med  | raw (no local calib yet)
  21   | S    |     3.5 (1) |   9.2   | gradient | med  | raw (no local calib yet)
  22   | S    |     1.9 (1) |   4.8   | gradient | med  | raw (no local calib yet)
  23   | S    |     2.6 (1) |   4.1   | gradient | med  | raw (no local calib yet)
